City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
srandakan,-7.94,110.25,77.43,86,78,10.47,ID,1601488229
chivilcoy,-34.9,-60.02,84.0,43,0,4.0,AR,1601488230
marystown,47.17,-55.15,73.0,100,59,5.99,CA,1601488230
ukiah,39.15,-123.21,88.0,43,1,1.16,US,1601488046
xining,36.62,101.77,47.46,76,99,3.8,CN,1601488231
kedrovyy,56.17,91.82,35.6,69,100,6.71,RU,1601488231
vrangel,42.73,133.08,54.93,64,100,5.32,RU,1601488232
sarakhs,36.54,61.16,62.6,27,0,4.65,IR,1601488232
mahanoro,-19.9,48.8,71.58,92,8,7.27,MG,1601488233
salamiyah,35.01,37.05,71.55,78,0,13.27,SY,1601488233
pereslavl-zalesskiy,56.74,38.86,52.68,70,96,8.14,RU,1601488233
ardakan,32.31,54.02,71.6,28,10,4.7,IR,1601488233
port hedland,-20.32,118.57,68.0,72,0,5.82,AU,1601488234
constitucion,-35.33,-72.42,54.16,57,74,14.09,CL,1601488234
krasnoselkup,65.7,82.47,32.2,95,95,3.87,RU,1601488235
camalu,30.85,-116.07,100.99,3,0,3.0,MX,1601488235
segamat,2.51,102.82,82.4,83,40,3.36,MY,1601488236
holovyne,50.47,28.83,53.64,92,100,10.45,UA,1601488236
nazarovo,56.01,90.39,33.51,91,100,5.32,RU,1601488237
oum hadjer,13.3,19.7,83.23,62,94,9.51,TD,1601488237
zhangjiakou,40.81,114.88,54.09,79,100,6.96,CN,1601488238
dunedin,-45.87,170.5,45.0,69,9,1.99,NZ,1601488215
vao,-22.67,167.48,68.09,69,81,17.94,NC,1601488239
merrill,45.18,-89.68,53.6,62,90,14.99,US,1601488207
meiringen,46.73,8.18,51.8,93,42,4.7,CH,1601488239
norman wells,65.28,-126.83,39.2,93,20,9.17,CA,1601488240
chapada dos guimaraes,-15.46,-55.75,105.8,12,39,6.93,BR,1601488240
santa isabel,-23.32,-46.22,96.8,23,20,4.7,BR,1601488240
ayagoz,47.97,80.44,32.95,91,0,14.41,KZ,1601488241
faanui,-16.48,-151.75,78.93,78,6,25.01,PF,1601488241
baruun-urt,46.68,113.28,43.07,84,100,9.95,MN,1601488242
medak,18.03,78.27,73.99,77,100,1.01,IN,1601488242
guerrero negro,27.98,-114.06,94.95,26,0,1.74,MX,1601488243
khonsa,27.02,95.57,69.33,95,29,2.71,IN,1601488244
cosereni,44.68,26.57,64.0,59,97,9.17,RO,1601488244
chichli,22.83,78.82,74.8,73,37,4.12,IN,1601488244
kloulklubed,7.04,134.26,77.0,88,90,5.82,PW,1601488245
tongliao,43.61,122.27,48.63,62,64,6.93,CN,1601488246
santander,43.46,-3.8,64.99,82,75,5.82,ES,1601488246
maniitsoq,65.42,-52.9,30.76,84,0,3.65,GL,1601488247
nishihara,26.18,127.76,77.0,88,75,9.17,JP,1601488247
maragogi,-9.01,-35.22,79.5,69,31,11.56,BR,1601488248
catamarca,-28.47,-65.79,98.01,19,0,1.99,AR,1601488248
silvan,38.14,41.01,77.0,31,8,1.12,TR,1601487970
ust-tsilma,65.44,52.15,46.78,89,23,4.59,RU,1601488249
ulladulla,-35.35,150.47,59.0,82,40,8.05,AU,1601488249
svetlogorsk,52.63,29.73,59.83,45,100,11.74,BY,1601488250
jumla,29.27,82.18,55.54,62,0,4.25,NP,1601488250
san pedro,14.35,121.02,84.2,79,20,2.24,PH,1601488250
rocha,-34.48,-54.33,74.53,57,2,6.91,UY,1601488251
mizque,-17.94,-65.34,81.59,29,10,12.39,BO,1601488251
yiyang,28.59,112.33,67.75,92,100,4.5,CN,1601488252
slobodskoy,58.73,50.18,48.24,87,94,3.67,RU,1601488252
san quintin,30.48,-115.95,90.77,26,0,7.18,MX,1601488252
casambalangan,18.38,122.13,80.13,84,84,7.43,PH,1601488253
aykhal,66.0,111.5,24.8,79,90,2.24,RU,1601488254
pochutla,15.74,-96.47,89.01,63,99,1.99,MX,1601488254
killybegs,54.63,-8.45,53.6,71,100,9.17,IE,1601488255
sibu,2.3,111.82,75.2,100,20,3.36,MY,1601488255
luena,-11.78,19.92,67.8,81,97,2.48,AO,1601488256
tyukalinsk,55.87,72.2,45.25,88,86,6.31,RU,1601488256
imeni poliny osipenko,52.42,136.49,39.15,90,0,2.46,RU,1601488257
reconquista,-29.15,-59.65,100.38,30,1,11.86,AR,1601488257
sorong,-0.88,131.25,80.08,79,100,7.61,ID,1601488258
trairi,-3.28,-39.27,84.54,56,11,17.29,BR,1601488093
dabwali,29.95,74.73,80.33,27,0,3.33,IN,1601488259
toktogul,41.87,72.94,52.83,65,100,0.4,KG,1601488259
zyryanka,65.75,150.85,38.21,69,72,13.47,RU,1601488260
groningen,53.25,6.75,61.0,87,73,6.93,NL,1601488199
yerbogachen,61.28,108.01,25.9,93,80,4.32,RU,1601488261
ormara,25.21,64.64,82.53,78,0,12.93,PK,1601488261
chara,56.91,118.26,36.77,81,84,0.09,RU,1601488262
torit,4.41,32.57,71.13,91,90,1.34,SS,1601488263
ghanzi,-21.57,21.78,78.71,18,56,5.73,BW,1601488264
oyama,36.3,139.8,71.01,88,75,4.7,JP,1601488264
jacksonville,30.33,-81.66,77.0,46,40,4.7,US,1601488260
san ignacio,17.16,-89.07,86.0,74,40,4.7,BZ,1601488265
gigmoto,13.78,124.39,80.64,80,61,3.04,PH,1601488266
huarmey,-10.07,-78.15,69.22,64,26,11.97,PE,1601488266
riyadh,24.69,46.72,87.8,20,0,3.36,SA,1601487974
pasuruan,-7.65,112.91,79.99,67,65,3.36,ID,1601488267
meadow lake,34.8,-106.54,75.0,15,1,3.36,US,1601488267
catuday,16.29,119.81,81.37,80,80,4.29,PH,1601488268
buta,2.79,24.73,71.64,96,94,2.21,CD,1601488214
concordia,-31.39,-58.02,84.0,50,48,10.0,AR,1601488268
preili,56.29,26.72,53.15,84,85,7.65,LV,1601488269
atambua,-9.11,124.89,72.32,79,21,2.86,ID,1601488269
nipawin,53.37,-104.0,44.6,70,90,19.46,CA,1601488088
